model_id,provider_group,source_model,family,modality,task_role,quality_tier,priority,confidence,classification_note
srv_mt58lf608d01990edc9b:kilo-auto/free,g4f-pollinations,kilo-auto/free,Other Open Model,text-chat,general-chat,community-unknown,P4-broad-community,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
pollinations/mistral,pollinations,mistral,Mistral,text-chat,general-chat,community-unknown,P4-broad-community,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
pollinations/perplexity-fast,pollinations,perplexity-fast,Other Open Model,text-chat,general-chat,community-unknown,P4-broad-community,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
pollinations/perplexity-reasoning,pollinations,perplexity-reasoning,Other Open Model,text-chat,reasoning-general,community-unknown,P4-broad-community,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_msg68ooo8baffd1a6509:qwen3.5-40b-deckard-claude46:latest,g4f-pollinations,srv_msg68ooo8baffd1a6509:qwen3.5-40b-deckard-claude46:latest,Claude,text-chat,reasoning-general,community-experimental,P5-experimental,medium,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_mrgy0nmbc8a86c407f17:models/gemini-flash-latest,g4f-pollinations,models/gemini-flash-latest,Gemini/Google,text-chat,general-chat,community-experimental,P5-experimental,medium,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_mrgy0nmbc8a86c407f17:models/gemini-flash-lite-latest,g4f-pollinations,models/gemini-flash-lite-latest,Gemini/Google,text-chat,general-chat,community-experimental,P5-experimental,medium,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_msg68ooo8baffd1a6509:deepseek-r1-32b-abliterated:latest,g4f-pollinations,srv_msg68ooo8baffd1a6509:deepseek-r1-32b-abliterated:latest,GPT/OpenAI,text-chat,reasoning-general,community-experimental,P5-experimental,medium,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_msg68ooo8baffd1a6509:glm-4.7-heretic-uncensored:latest,g4f-pollinations,srv_msg68ooo8baffd1a6509:glm-4.7-heretic-uncensored:latest,GPT/OpenAI,text-chat,reasoning-general,community-experimental,P5-experimental,medium,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_msg6a4jw30fd44d2d156:gpt-oss:latest,g4f-pollinations,srv_msg6a4jw30fd44d2d156:gpt-oss:latest,GPT/OpenAI,text-chat,reasoning-general,community-experimental,P5-experimental,medium,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_msgb4yuoddb1b88c97af:gpt-oss:latest,g4f-pollinations,srv_msgb4yuoddb1b88c97af:gpt-oss:latest,GPT/OpenAI,text-chat,reasoning-general,community-experimental,P5-experimental,medium,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_msg6938v04914c4c04d2:llama3:latest,g4f-pollinations,srv_msg6938v04914c4c04d2:llama3:latest,Llama/Meta,text-chat,general-chat,community-experimental,P5-experimental,medium,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_mp3lmkuad07322459f47:unmoderated-gpt,g4f-pollinations,srv_mp3lmkuad07322459f47:unmoderated-gpt,Other Open Model,text-chat,experimental-general,community-experimental,P5-experimental,medium,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_msgckjs9c22150d27d5a:MADRSbot:latest,g4f-pollinations,srv_msgckjs9c22150d27d5a:MADRSbot:latest,Other Open Model,text-chat,general-chat,community-experimental,P5-experimental,medium,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_moot47mj3e1855ad46d1:qwen-plus-latest,g4f-pollinations,srv_moot47mj3e1855ad46d1:qwen-plus-latest,Qwen,text-chat,general-chat,community-experimental,P5-experimental,medium,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_mqjxnj9i4e35281e8d60:Qwen3.5-35B-A3B-Uncensored-HauhauCS-Aggressive-Q4_K_M.gguf,g4f-pollinations,srv_mqjxnj9i4e35281e8d60:Qwen3.5-35B-A3B-Uncensored-HauhauCS-Aggressive-Q4_K_M.gguf,Qwen,text-chat,experimental-general,community-experimental,P5-experimental,medium,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_mqjxnj9i4e35281e8d60:Qwen3.6-35B-A3B-Uncensored-HauhauCS-Aggressive-Q4_K_M.gguf,g4f-pollinations,srv_mqjxnj9i4e35281e8d60:Qwen3.6-35B-A3B-Uncensored-HauhauCS-Aggressive-Q4_K_M.gguf,Qwen,text-chat,experimental-general,community-experimental,P5-experimental,medium,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_msgcn3zj3b870bfa005c:qwen3-norm:latest,g4f-pollinations,srv_msgcn3zj3b870bfa005c:qwen3-norm:latest,Qwen,text-chat,general-chat,community-experimental,P5-experimental,medium,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_msjkstt04622bf04c675:sw-qwen3-5-35b-uncensored,g4f-pollinations,srv_msjkstt04622bf04c675:sw-qwen3-5-35b-uncensored,Qwen,text-chat,experimental-general,community-experimental,P5-experimental,medium,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_msjkstt04622bf04c675:sw-qwen3-6-35b-uncensored,g4f-pollinations,srv_msjkstt04622bf04c675:sw-qwen3-6-35b-uncensored,Qwen,text-chat,experimental-general,community-experimental,P5-experimental,medium,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_mt1wbaxgf9c946af0c58:Qwen3.6-35B-A3B-Uncensored,g4f-pollinations,srv_mt1wbaxgf9c946af0c58:Qwen3.6-35B-A3B-Uncensored,Qwen,text-chat,experimental-general,community-experimental,P5-experimental,medium,Name/provider heuristic; verify with endpoint probe before production auto-routing.
